Change Component Description : Designator=R3 Old Description=CRGCQ0603 1MO 5% ±100ppm/°C 75V New Description=CRGCQ0603 1MO 5% ±100ppm/°C 75V
Change Component Description : Designator=R5 Old Description=CRGCQ0603 1MO 5% ±100ppm/°C 75V New Description=CRGCQ0603 1MO 5% ±100ppm/°C 75V
Change Component Description : Designator=L1 Old Description=Fixed Inductors Commercial Low DCR Series 4.7uH 3.2A 81.3mO 20% New Description=Fixed Inductors Commercial Low DCR Series 4.7uH 3.2A 81.3mO 20%
Change Component Description : Designator=R9 Old Description=RES Thick Film, 120O, 1%, 0.125W, 100ppm/°C, 0805 New Description=RES Thick Film, 120O, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R10 Old Description=RES Thick Film, 120O, 1%, 0.125W, 100ppm/°C, 0805 New Description=RES Thick Film, 120O, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R1 Old Description=RES Thick Film, 220O, 1%, 0.1W, 100ppm/°C, 0603 New Description=RES Thick Film, 220O, 1%, 0.1W, 100ppm/°C, 0603
Change Managed Component Library Link : Designator=C1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=4C388509-E66D-4A8A-B6CC-D934003EFBA9 Old RevisionGUID= New RevisionGUID=EAD26943-240A-4271-8D6E-DC96E83097AE
Change Managed Component Library Link : Designator=C2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1954D0E7-6B0F-4470-9748-F4908ABA05EC Old RevisionGUID= New RevisionGUID=A542C657-B464-440B-BF5D-B0DF26C02006
Change Managed Component Library Link : Designator=C3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1954D0E7-6B0F-4470-9748-F4908ABA05EC Old RevisionGUID= New RevisionGUID=A542C657-B464-440B-BF5D-B0DF26C02006
Change Managed Component Library Link : Designator=C4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=92A7A680-9332-4457-97A2-198E63E1FB11 Old RevisionGUID= New RevisionGUID=2E96E9D6-CC1A-441A-8601-8653C1D18C02
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=C666FF75-E6AA-4336-8F8D-7BE112AF1BDC Old RevisionGUID= New RevisionGUID=473FADD4-CDD4-43EB-B894-2BE30809ED4A
Change Managed Component Library Link : Designator=C6 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=FC0A94A1-EDF8-4EAF-98A3-EBF1CE16CA04 Old RevisionGUID= New RevisionGUID=286F422A-ECD5-480F-9B39-20700F12672B
Change Managed Component Library Link : Designator=CON1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=805ED265-DFAD-4255-BEDC-5A819F4B8B9C Old RevisionGUID= New RevisionGUID=EF3E2E37-A536-4D2A-BE73-BEC8ACD12900
Change Managed Component Library Link : Designator=CON2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=805ED265-DFAD-4255-BEDC-5A819F4B8B9C Old RevisionGUID= New RevisionGUID=EF3E2E37-A536-4D2A-BE73-BEC8ACD12900
Change Managed Component Library Link : Designator=CON3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=261170F6-6C20-4395-B4E3-81C716DB5220 Old RevisionGUID= New RevisionGUID=5C9573D1-3A47-42C9-8216-18FB205402C0
Change Managed Component Library Link : Designator=CON4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=261170F6-6C20-4395-B4E3-81C716DB5220 Old RevisionGUID= New RevisionGUID=5C9573D1-3A47-42C9-8216-18FB205402C0
Change Managed Component Library Link : Designator=CON5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=261170F6-6C20-4395-B4E3-81C716DB5220 Old RevisionGUID= New RevisionGUID=5C9573D1-3A47-42C9-8216-18FB205402C0
Change Managed Component Library Link : Designator=CON6 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=5256D7CF-63DF-4EC0-84F0-DBA534DF5882 Old RevisionGUID= New RevisionGUID=2E9B5778-D9D3-4549-BAC4-5E8A13EFCD63
Change Managed Component Library Link : Designator=D2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=F0D007A7-A4E9-4343-AEE3-7401EDEE671A Old RevisionGUID= New RevisionGUID=583FA002-0017-4D16-82A7-27AA42BFAF50
Change Managed Component Library Link : Designator=D3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=F0D007A7-A4E9-4343-AEE3-7401EDEE671A Old RevisionGUID= New RevisionGUID=583FA002-0017-4D16-82A7-27AA42BFAF50
Change Managed Component Library Link : Designator=F1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=ECC6CD5A-4F0D-4635-8B79-F196E7791420 Old RevisionGUID= New RevisionGUID=8034D50B-8965-43EB-9520-2C2D7E102C2C
Change Managed Component Library Link : Designator=F2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=C65ABD69-0D30-4133-81B9-3101767CA1A8 Old RevisionGUID= New RevisionGUID=E21120D7-63CE-446A-94F6-B0F648973B5D
Change Managed Component Library Link : Designator=F3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=C65ABD69-0D30-4133-81B9-3101767CA1A8 Old RevisionGUID= New RevisionGUID=E21120D7-63CE-446A-94F6-B0F648973B5D
Change Managed Component Library Link : Designator=F4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=0AA43F30-2AB8-40CF-8F5C-6063E149D5B6 Old RevisionGUID= New RevisionGUID=58807E79-5550-4347-A11E-5255E275A4E9
Change Managed Component Library Link : Designator=L1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=71DBFACB-CF61-4AEB-B657-829BBD3CC55D Old RevisionGUID= New RevisionGUID=5E6B7609-E4A8-4F35-B452-D95B9C83DEF4
Change Managed Component Library Link : Designator=LED1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=86E17560-A4C8-4FA7-AFA9-2BF65FEC5EAE Old RevisionGUID= New RevisionGUID=465483F9-DDAD-4104-B4C5-2BDBC7053C65
Change Managed Component Library Link : Designator=LED2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=86E17560-A4C8-4FA7-AFA9-2BF65FEC5EAE Old RevisionGUID= New RevisionGUID=465483F9-DDAD-4104-B4C5-2BDBC7053C65
Change Managed Component Library Link : Designator=LED3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=86E17560-A4C8-4FA7-AFA9-2BF65FEC5EAE Old RevisionGUID= New RevisionGUID=465483F9-DDAD-4104-B4C5-2BDBC7053C65
Change Managed Component Library Link : Designator=LED4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=EE096EE0-D312-496F-93DD-B16108E0580B Old RevisionGUID= New RevisionGUID=8D8FF04E-BF61-45A9-903C-9880CCC0ED1D
Change Managed Component Library Link : Designator=LED5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=48AD1012-98F5-4597-95A5-E1645A255E96 Old RevisionGUID= New RevisionGUID=70CD772F-7ADB-4FE8-8AB6-384B38EB84B7
Change Managed Component Library Link : Designator=Q1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=C212AC4A-CFCE-435F-AEB7-FF3C9934D047 Old RevisionGUID= New RevisionGUID=B73F7D82-C195-44E9-AAEA-EBCCD6A9C4DC
Change Managed Component Library Link : Designator=Q2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=C212AC4A-CFCE-435F-AEB7-FF3C9934D047 Old RevisionGUID= New RevisionGUID=B73F7D82-C195-44E9-AAEA-EBCCD6A9C4DC
Change Managed Component Library Link : Designator=R1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=69E9E144-5AD0-4AB8-ADA3-34D28E7FF57F Old RevisionGUID= New RevisionGUID=DBF5CA61-F6A5-4BB9-A685-DA7EABB8C711
Change Managed Component Library Link : Designator=R2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=80765BC4-5181-4DDD-90A9-5EC15782A0DD Old RevisionGUID= New RevisionGUID=CFAD1FCC-56ED-4A8C-960C-07729B9DC11D
Change Managed Component Library Link : Designator=R3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=3AF10DC5-9EFD-4E6F-AF54-43ACE4A8E586 Old RevisionGUID= New RevisionGUID=C6E1A6DD-67D4-4A31-8CB2-6C36469BF4EC
Change Managed Component Library Link : Designator=R4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=80765BC4-5181-4DDD-90A9-5EC15782A0DD Old RevisionGUID= New RevisionGUID=CFAD1FCC-56ED-4A8C-960C-07729B9DC11D
Change Managed Component Library Link : Designator=R5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=3AF10DC5-9EFD-4E6F-AF54-43ACE4A8E586 Old RevisionGUID= New RevisionGUID=C6E1A6DD-67D4-4A31-8CB2-6C36469BF4EC
Change Managed Component Library Link : Designator=R6 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=40ED1516-8523-4E83-A44B-273154D37633 Old RevisionGUID= New RevisionGUID=A388B112-018C-4166-AF80-565CA3BAB03D
Change Managed Component Library Link : Designator=R7 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=40ED1516-8523-4E83-A44B-273154D37633 Old RevisionGUID= New RevisionGUID=A388B112-018C-4166-AF80-565CA3BAB03D
Change Managed Component Library Link : Designator=R8 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=63E0E51B-B304-4316-9363-21B933220542 Old RevisionGUID= New RevisionGUID=87E8A914-E835-4D07-A61C-39F9CE05D3D4
Change Managed Component Library Link : Designator=R9 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=38E0FF71-673E-413E-8D8A-7B13CE613A95 Old RevisionGUID= New RevisionGUID=87846D18-9BEA-413A-BBE9-50AD0BF047C5
Change Managed Component Library Link : Designator=R10 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=38E0FF71-673E-413E-8D8A-7B13CE613A95 Old RevisionGUID= New RevisionGUID=87846D18-9BEA-413A-BBE9-50AD0BF047C5
Change Managed Component Library Link : Designator=R11 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=BAB15B8E-CA57-4B30-BFC3-C8FFD10604E2 Old RevisionGUID= New RevisionGUID=33271D73-76BC-4727-92D4-A33C2C3E314B
Change component parameters: Designator = "U1" ("U1"); Footprint = "TSOT26"; UniqueID = "\FUFQLKTE\AFYTXTCK" ("\FUFQLKTE\AFYTXTCK")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.octopart.com/AP63203WU-7-Diodes-Inc.-datasheet-130008827.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.octopart.com/AP63203WU-7-Diodes-Inc.-datasheet-130008827.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://sigma.octopart.com/138799930/technical_drawing/Diodes-Inc.-AP63203WU-7.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://sigma.octopart.com/138799930/technical_drawing/Diodes-Inc.-AP63203WU-7.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Diodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "AP63203WU-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "AP63203WU-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.83000, 10=0.74500, 25=0.70720, 100=0.54290, 250=0.47976, 500=0.45450, 1000=0.35350 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "9889"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "AP63203WU-7DICT-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "FP-CL21-IPC_C"; UniqueID = "\UOWYQURB\FBBMHLWV" ("\UOWYQURB\FBBMHLWV")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "22uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.samsungsem.com/kr/support/product-search/mlcc/CL21A226MOCLRNC.jsp?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samsungsem.com/kr/support/product-search/mlcc/CL21A226MOCLRNC.jsp?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.079inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Samsung"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CL21A226MOCLRNC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "613946"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1276-6780-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.037inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "J2" ("J2"); Footprint = "10pos_1.27_Keyed"; UniqueID = "\UOWYQURB\RXAKAOGP" ("\UOWYQURB\RXAKAOGP")
Change component parameters (AddParameter): Name = "Category"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/18655/3220-xx-0100-00-18655342.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/18655/3220-xx-0100-00-18655342.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "CNC Tech"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "CNC Tech"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "3220-10-0100-00"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "3220-10-0100-00"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tray"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.05inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.58000, 10=0.54000, 100=0.41400, 500=0.36000, 1000=0.29700, 5000=0.26100, 10000=0.24300 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Row Spacing"; Value = "0.05inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "83441"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1175-1627-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Change component parameters: Designator = "F2" ("F2"); Footprint = "FP-0100-MFG"; UniqueID = "\DUPKVKWH" ("\DUPKVKWH")
Change component parameters (AddParameter): Name = "Body Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Fuse Holders"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/4479/littelfuse-100-445-030-520-fuseclip-195180-4479865.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/4479/littelfuse-100-445-030-520-fuseclip-195180-4479865.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "20A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "5.9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "4.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Littelfuse"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "01000020Z"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Horizontal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "20344"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "F4225-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "PC Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "600V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters: Designator = "F3" ("F3"); Footprint = "FP-0100-MFG"; UniqueID = "\WZCXCRNY" ("\WZCXCRNY")
Change component parameters (AddParameter): Name = "Body Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Fuse Holders"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/4479/littelfuse-100-445-030-520-fuseclip-195180-4479865.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/4479/littelfuse-100-445-030-520-fuseclip-195180-4479865.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "20A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "5.9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "4.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Littelfuse"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "01000020Z"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Horizontal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "20344"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "F4225-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "PC Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "600V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters: Designator = "S1" ("S1"); Footprint = "TL4110 Edge Connector"; UniqueID = "\UOWYQURB\MYEDYHGK" ("\UOWYQURB\MYEDYHGK")
Change component parameters (AddParameter): Name = "Actuator Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Tactile Switches"; VariantName = "[No Variations]"
