Altium Designer Pick and Place Locations
F:\Users\Rooke\Documents\Bill\home work\UNI\2020\Spring\SDS\BrewController\Project Outputs for BrewController\Gerbers\Pick Place for BrewController.csv

========================================================================================================================
File Design Information:

Date:       07/10/20
Time:       15:32
Revision:   91bb1c8d43002f8688e3a10e9778defa57dd5f75
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"F1","0218002.MXP","TopLayer","FP-0218002_MXP-MFG","0.0000","0.0000","90","FUSE GLASS 2A 250VAC 5X20MM"
"S1","Right Angle SMT Edge Switch","TopLayer","TL4110_Edge_Connector","66.1025","130.1000","90","RIGHT ANGLE SMT TACT SWITCH 2.0M"
"R11","CRCW060310K0JNEB","TopLayer","RESC1609X50X30LL10T20","70.7000","130.1000","90","Res Thick Film 0603 10K Ohm 5% 0.1W(1/10W) ±200ppm/C Molded SMD Automotive Paper T/R"
"F4","0ZCJ0050FF2G","TopLayer","FP-0ZCJ0050FF2G-MFG","73.5000","124.1000","90","PTC RESET FUSE 8V 500MA 1206"
"C8","Cap 0.1uF/50V 0805 X7R (CL21B104MBCNNNC)","TopLayer","C0805","68.9000","130.1000","270","Cap Ceramic 0.1uF 50V X7R 20% SMD 0805 125C Paper T/R"
"F2","01000020Z","TopLayer","FP-0100-MFG","75.2500","82.2500","90","FUSE CLIP CARTRIDGE 600V 20A PCB"
"RLY2","G2RL-1A-E DC5","TopLayer","FP-G2RL-1A-E_DC12-MFG","96.4000","97.0000","360","RELAY GEN PURPOSE SPST 16A 5V"
"R7","CRCW06034K70FKTA","TopLayer","RESC1609X50X30NL10T20","109.5000","141.0000","360","0603 4K7"
"CON6","10118193-0001LF","TopLayer","FCI-10118193-0001LF-5_V","69.3375","121.5000","270","Micro USB B Type Receptacle, -55 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"R8","MCT06030E1002BP500","TopLayer","FP-MCT0603-MFG","76.2000","129.4000","90","RES SMD 100 OHM 1% 1/8W 0603"
"R4","CRCW0603680RFKEA","TopLayer","RESC1609X50X30ML10T20","86.0000","107.9000","0","0603 680R"
"R2","CRCW0603680RFKEA","TopLayer","RESC1609X50X30ML10T20","85.6000","84.0000","0","0603 680R"
"R10","CRCW0805120RFKEA","TopLayer","FP-CRCW0805-e3-IPC_C","105.0000","134.5000","180","RES Thick Film, 120O, 1%, 0.125W, 100ppm/°C, 0805"
"R9","CRCW0805120RFKEA","TopLayer","FP-CRCW0805-e3-IPC_C","105.0000","138.5000","180","RES Thick Film, 120O, 1%, 0.125W, 100ppm/°C, 0805"
"R6","CRCW06034K70FKTA","TopLayer","RESC1609X50X30NL10T20","109.5000","123.0000","360","0603 4K7"
"LED5","150120SS75000","TopLayer","1206_A","100.5000","134.5000","180","SMD mono-color Chip LED, WL-SMCW, Super Red"
"LED4","156120YS75300","TopLayer","1206__CYLINDRICAL-_Reverse_Use","100.5000","138.5000","180","SMD mono-color reverse mount waterclear Chip LED, WL-SMRW, Yellow"
"LED3","150120VS75000","TopLayer","1206_A","86.0000","105.4000","180","SMD mono-color Chip LED, WL-SMCW, Bright Green"
"LED2","150120VS75000","TopLayer","1206_A","85.6000","82.0000","180","SMD mono-color Chip LED, WL-SMCW, Bright Green"
"F3","01000020Z","TopLayer","FP-0100-MFG","75.2500","68.9500","270","FUSE CLIP CARTRIDGE 600V 20A PCB"
